1,1
1,2
1,3
1,4
2,1
2,2
2,3
2,4
3,1
3,2
3,3
3,4
4,1
4,2
4,3
4,4
5,5
5,6
6,5
6,6
7,5
7,6
8,5
8,6
9,5
9,6
10,5
10,6
11,6
11,5
12,6
12,5
13,6
13,5
14,5
14,6
15,5
15,6
16,5
16,6
16,7
17,5
17,6
17,7
18,5
18,6
18,7
19,5
19,6
19,7
20,5
20,6
20,7
21,5
21,6
21,7
22,5
22,6
22,7
23,5
23,6
23,7
24,5
24,6
24,7
25,5
25,6
25,7
26,5
26,6
26,7
27,5
27,6
28,5
28,6
28,7
29,5
29,6
29,7
30,5
30,6
30,7
31,5
31,6
32,5
32,6
32,7
33,5
33,6
33,7
34,5
34,6
34,7
35,5
35,6
35,7
36,5
36,6
36,7
37,5
37,6
37,7
38,5
38,6
38,7
39,5
39,6
39,7
40,5
40,6
40,7
41,5
41,6
41,7
42,5
42,6
42,7
43,5
43,6
43,7
44,5
44,6
44,7
45,5
45,6
45,7
46,5
46,6
46,7
47,5
47,6
47,7
48,5
48,6
48,7
49,5
49,6
49,7
50,5
50,6
50,7
51,5
51,6
51,7
52,5
52,6
52,7
53,5
53,6
53,7
54,5
54,6
54,7
55,5
55,6
55,7
56,5
56,6
56,7
57,5
57,6
57,7
58,5
58,6
58,7
59,5
59,6
59,7
60,5
60,6
60,7
61,5
61,6
61,7
62,5
62,6
62,7
63,5
63,6
63,7
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,9
77,8
78,10
78,11
78,12
78,13
78,14
78,15
79,16
79,17
80,18
80,19
80,20
80,21
81,22
81,23
81,24
81,25
81,26
82,27
82,28
82,29
82,30
83,31
83,32
83,21
84,33
84,34
84,35
84,36
84,21
85,37
85,38
85,39
85,41
85,40
